Category,BNF Prefix
Antidepressants,0403010N0
Antidepressants,0403010N0AA
Antidepressants,0403010N0AAACAC
Antidepressants,0403010N0AAADAD
Antidepressants,0403010N0AAAEAE
Antidepressants,0403010N0AAAJAJ
Antidepressants,0403010N0AAAKAK
Antidepressants,0403010N0AAALAL
Antidepressants,0403010N0AAAMAM
Antidepressants,0403010N0AAANAN
Antidepressants,0403010N0AAAPAP
Antidepressants,0403010N0AAAQAQ
Antidepressants,0403010N0BC
Antidepressants,0403010N0BCABAE
Antidepressants,0403010N0BCACAC
Antidepressants,0403010R0
Antidepressants,0403010R0AA
Antidepressants,0403010R0AAAAAA
Antidepressants,0403010R0AAAGAG
Antidepressants,0403010R0AAAHAH
Antidepressants,0403010R0AAAIAI
Antidepressants,0403010R0AAAKAK
Antidepressants,0403010R0AAALAL
Antidepressants,0403010R0AAAMAM
Antidepressants,0403010R0BB
Antidepressants,0403010R0BBAAAA
Antidepressants,0403010R0BC
Antidepressants,0403010R0BCAAAL
Antidepressants,0403010R0BD
Antidepressants,0403010R0BDAAAA
Antidepressants,0403010S0
Antidepressants,0403010S0AA
Antidepressants,0403010S0AAAAAA
Antidepressants,0403010S0AAABAB
Antidepressants,0403010S0AAADAD
Antidepressants,0403010S0AAAEAE
Antidepressants,0403010S0BB
Antidepressants,0403010S0BBAAAA
Antidepressants,0403010S0BBABAB
Antidepressants,0403010S0BBACAE
Antidepressants,0403010S0BBADAD
Antidepressants,0403010T0
Antidepressants,0403010T0AA
Antidepressants,0403010T0AAAAAA
Antidepressants,0403010T0AAABAB
Antidepressants,0403010T0AAACAC
Antidepressants,0403010T0AAADAD
Antidepressants,0403010T0AAAEAE
Antidepressants,0403010T0AAAFAF
Antidepressants,0403010X0
Antidepressants,0403010X0AA
Antidepressants,0403010X0AAAAAA
Antidepressants,0403010X0AAABAB
Antidepressants,0403010X0AAADAD
Antidepressants,0403010X0AAAEAE
Antidepressants,0403010X0AAAFAF
Antidepressants,0403010X0AAAGAG
Antidepressants,0403010X0AAAHAH
Antidepressants,0403010X0AAAIAI
Antidepressants,0403010X0AAAJAJ
Antidepressants,0403010X0AAAKAK
Antidepressants,0403010X0AAALAL
Antidepressants,0403010X0AAAMAM
Antidepressants,0403010X0AAANAN
Antidepressants,0403010X0AAAPAP
Antidepressants,0403010X0AAAQAQ
Antidepressants,0403010X0BB
Antidepressants,0403010X0BBAAAA
Antidepressants,0403010X0BBABAB
Antidepressants,0403010X0BBACAC
Antidepressants,0403010X0BBACAF
Antidepressants,0403010X0BBADAD
Antidepressants,0403010X0BBAEAE
Antidepressants,0403010Y0
Antidepressants,0403010Y0AA
Antidepressants,0403010Y0AAAAAA
Antidepressants,0403010Y0AAABAB
Antidepressants,0403010Y0AAACAC
Antidepressants,0403010Y0AAAGAG
Antidepressants,0403010Y0AAAHAH
Antidepressants,0403010Y0AAAIAI
Antidepressants,0403010Y0AAAKAK
Antidepressants,0403010Y0BB
Antidepressants,0403010Y0BBAAAA
Antidepressants,0403010Y0BBABAB
Antidepressants,0403010Y0BBACAC
Antidepressants,0403020H0
Antidepressants,0403020H0AA
Antidepressants,0403020H0AAAAAA
Antidepressants,0403020H0AAACAC
Antidepressants,0403020K0
Antidepressants,0403020K0AA
Antidepressants,0403020K0AAAAAA
Antidepressants,0403020K0AAACAC
Antidepressants,0403020K0AAADAD
Antidepressants,0403020K0AAAEAE
Antidepressants,0403020K0BB
Antidepressants,0403020K0BBAAAA
Antidepressants,0403020K0BBABAC
Antidepressants,0403020M0
Antidepressants,0403020M0AA
Antidepressants,0403020M0AAAAAA
Antidepressants,0403020M0AAABAB
Antidepressants,0403020M0BB
Antidepressants,0403020M0BBAAAA
Antidepressants,0403020Q0
Antidepressants,0403020Q0AA
Antidepressants,0403020Q0AAAAAA
Antidepressants,0403030D0
Antidepressants,0403030D0AA
Antidepressants,0403030D0AAAAAA
Antidepressants,0403030D0AAABAB
Antidepressants,0403030D0AAACAC
Antidepressants,0403030D0AAADAD
Antidepressants,0403030D0AAAGAG
Antidepressants,0403030D0AAAJAJ
Antidepressants,0403030D0AAAKAK
Antidepressants,0403030D0AAALAL
Antidepressants,0403030D0BB
Antidepressants,0403030D0BBAAAA
Antidepressants,0403030D0BBABAB
Antidepressants,0403030D0BBACAC
Antidepressants,0403030E0AAAAAA
Antidepressants,0403030E0AAACAC
Antidepressants,0403030E0AAAEAE
Antidepressants,0403030E0AAAGAG
Antidepressants,0403030E0AAAHAH
Antidepressants,0403030E0AAAIAI
Antidepressants,0403030E0AAAKAK
Antidepressants,0403030E0AAALAL
Antidepressants,0403030E0AAAMAM
Antidepressants,0403030E0AAANAN
Antidepressants,0403030E0AAAPAP
Antidepressants,0403030E0AAAQAQ
Antidepressants,0403030E0AAARAR
Antidepressants,0403030E0BB
Antidepressants,0403030E0BBAAAA
Antidepressants,0403030E0BBABAC
Antidepressants,0403030E0BBACAE
Antidepressants,0403030E0BC
Antidepressants,0403030E0BCAAAA
Antidepressants,0403030E0BD
Antidepressants,0403030E0BDAAAA
Antidepressants,0403030E0BE
Antidepressants,0403030E0BEAAAA
Antidepressants,0403030E0BF
Antidepressants,0403030E0BFAAAC
Antidepressants,0403030E0BG
Antidepressants,0403030E0BGAAAH
Antidepressants,0403030E0BH
Antidepressants,0403030E0BHAAAK
Antidepressants,0403030L0
Antidepressants,0403030L0AA
Antidepressants,0403030L0AAAAAA
Antidepressants,0403030L0AAABAB
Antidepressants,0403030L0AAAEAE
Antidepressants,0403030L0BB
Antidepressants,0403030L0BBAAAA
Antidepressants,0403030L0BBABAB
Antidepressants,0403030P0
Antidepressants,0403030P0AA
Antidepressants,0403030P0AAAAAA
Antidepressants,0403030P0AAABAB
Antidepressants,0403030P0AAADAD
Antidepressants,0403030P0AAAEAE
Antidepressants,0403030P0AAAFAF
Antidepressants,0403030P0AAAGAG
Antidepressants,0403030P0AAAKAK
Antidepressants,0403030P0AAALAL
Antidepressants,0403030P0BB
Antidepressants,0403030P0BBAAAA
Antidepressants,0403030P0BBABAB
Antidepressants,0403030P0BBACAG
Antidepressants,0403030P0BBADAK
Antidepressants,0403030Q0
Antidepressants,0403030Q0AA
Antidepressants,0403030Q0AAAAAA
Antidepressants,0403030Q0AAABAB
Antidepressants,0403030Q0AAAIAI
Antidepressants,0403030Q0AAAKAK
Antidepressants,0403030Q0AAANAN
Antidepressants,0403030Q0AAAPAP
Antidepressants,0403030Q0AAAQAQ
Antidepressants,0403030Q0AAARAR
Antidepressants,0403030Q0AAASAS
Antidepressants,0403030Q0AAATAT
Antidepressants,0403030Q0AAAUAU
Antidepressants,0403030Q0AAAVAV
Antidepressants,0403030Q0AAAWAW
Antidepressants,0403030Q0AAAXAX
Antidepressants,0403030Q0AAAYAY
Antidepressants,0403030Q0AAAZAZ
Antidepressants,0403030Q0AABABA
Antidepressants,0403030Q0AABBBB
Antidepressants,0403030Q0AABCBC
Antidepressants,0403030Q0AABDBD
Antidepressants,0403030Q0BB
Antidepressants,0403030Q0BBAAAA
Antidepressants,0403030Q0BBABAB
Antidepressants,0403030Q0BC
Antidepressants,0403030Q0BCAAAA
Antidepressants,0403030Q0BCABAB
Antidepressants,0403030X0
Antidepressants,0403030X0AA
Antidepressants,0403030X0AAAAAA
Antidepressants,0403030X0AAABAB
Antidepressants,0403030X0AAACAC
Antidepressants,0403030X0AAADAD
Antidepressants,0403030X0AAAFAF
Antidepressants,0403030X0BB
Antidepressants,0403030X0BBAAAA
Antidepressants,0403030X0BBABAB
Antidepressants,0403030X0BBACAC
Antidepressants,0403030X0BBADAD
Antidepressants,0403030X0BBAEAF
Antidepressants,0403030Z0
Antidepressants,0403030Z0AA
Antidepressants,0403030Z0AAAAAA
Antidepressants,0403030Z0BB
Antidepressants,0403030Z0BBAAAA
Antidepressants,040304000AA
Antidepressants,040304000AAABAB
Antidepressants,0403040AA
Antidepressants,0403040AAAA
Antidepressants,0403040AAAAAAAA
Antidepressants,0403040AAAAABAB
Antidepressants,0403040AABB
Antidepressants,0403040AABBAAAA
Antidepressants,0403040AABBABAB
Antidepressants,0403040AB
Antidepressants,0403040ABAA
Antidepressants,0403040ABAAAAAA
Antidepressants,0403040ABAAABAB
Antidepressants,0403040ABAAACAC
Antidepressants,0403040ABBB
Antidepressants,0403040ABBBAAAA
Antidepressants,0403040ABBBABAB
Antidepressants,0403040ABBBACAC
Antidepressants,0403040F0
Antidepressants,0403040F0AA
Antidepressants,0403040F0AAAAAA
Antidepressants,0403040F0AAABAB
Antidepressants,0403040F0AAAFAF
Antidepressants,0403040F0AAAGAG
Antidepressants,0403040F0BB
Antidepressants,0403040F0BBAAAA
Antidepressants,0403040F0BBABAB
Antidepressants,0403040R0
Antidepressants,0403040R0AA
Antidepressants,0403040R0AAAFAF
Antidepressants,0403040R0AAAJAJ
Antidepressants,0403040R0AAAKAK
Antidepressants,0403040R0BB
Antidepressants,0403040R0BBABAF
Antidepressants,0403040R0BD
Antidepressants,0403040R0BDAAAJ
Antidepressants,0403040R0BE
Antidepressants,0403040R0BEAAAK
Antidepressants,0403040S0
Antidepressants,0403040S0AA
Antidepressants,0403040S0AAABAB
Antidepressants,0403040S0AAAGAG
Antidepressants,0403040S0AAAIAI
Antidepressants,0403040S0BB
Antidepressants,0403040S0BBAAAB
Antidepressants,0403040S0BBADAI
Antidepressants,0403040S0BBAEAI
Antidepressants,0403040T0
Antidepressants,0403040T0AA
Antidepressants,0403040T0AAAAAA
Antidepressants,0403040T0AAABAB
Antidepressants,0403040T0AAACAC
Antidepressants,0403040T0BB
Antidepressants,0403040T0BBAAAA
Antidepressants,0403040T0BBABAB
Antidepressants,0403040T0BBACAC
Antidepressants,0403040U0
Antidepressants,0403040U0AA
Antidepressants,0403040U0AAAAAA
Antidepressants,0403040U0BB
Antidepressants,0403040U0BBAAAA
Antidepressants,0403040W0
Antidepressants,0403040W0AA
Antidepressants,0403040W0AAAAAA
Antidepressants,0403040W0AAABAB
Antidepressants,0403040W0AAACAC
Antidepressants,0403040W0AAADAD
Antidepressants,0403040W0AAAEAE
Antidepressants,0403040W0AAAHAH
Antidepressants,0403040W0AAAIAI
Antidepressants,0403040W0AAAJAJ
Antidepressants,0403040W0AAAKAK
Antidepressants,0403040W0AAALAL
Antidepressants,0403040W0AAAMAM
Antidepressants,0403040W0AAANAN
Antidepressants,0403040W0AAAPAP
Antidepressants,0403040W0AAAQAQ
Antidepressants,0403040W0AAARAR
Antidepressants,0403040W0AAASAS
Antidepressants,0403040W0AAATAT
Antidepressants,0403040W0AAAUAU
Antidepressants,0403040W0AAAVAV
Antidepressants,0403040W0AAAWAW
Antidepressants,0403040W0AAAXAX
Antidepressants,0403040W0BB
Antidepressants,0403040W0BBAAAA
Antidepressants,0403040W0BBABAB
Antidepressants,0403040W0BBACAC
Antidepressants,0403040W0BBADAD
Antidepressants,0403040W0BBAEAE
Antidepressants,0403040W0BBAFAT
Antidepressants,0403040W0BC
Antidepressants,0403040W0BCAAAD
Antidepressants,0403040W0BCABAE
Antidepressants,0403040W0BD
Antidepressants,0403040W0BDAAAD
Antidepressants,0403040W0BDABAE
Antidepressants,0403040W0BE
Antidepressants,0403040W0BEAAAD
Antidepressants,0403040W0BEABAE
Antidepressants,0403040W0BF
Antidepressants,0403040W0BFAAAD
Antidepressants,0403040W0BFABAE
Antidepressants,0403040W0BG
Antidepressants,0403040W0BGAAAD
Antidepressants,0403040W0BGABAE
Antidepressants,0403040W0BGACAT
Antidepressants,0403040W0BH
Antidepressants,0403040W0BHAAAD
Antidepressants,0403040W0BHABAE
Antidepressants,0403040W0BI
Antidepressants,0403040W0BIAAAJ
Antidepressants,0403040W0BIABAK
Antidepressants,0403040W0BIACAA
Antidepressants,0403040W0BIADAB
Antidepressants,0403040W0BIAEAL
Antidepressants,0403040W0BJ
Antidepressants,0403040W0BJAAAD
Antidepressants,0403040W0BJABAE
Antidepressants,0403040W0BK
Antidepressants,0403040W0BKAAAD
Antidepressants,0403040W0BKABAE
Antidepressants,0403040W0BL
Antidepressants,0403040W0BLAAAD
Antidepressants,0403040W0BLABAE
Antidepressants,0403040W0BM
Antidepressants,0403040W0BMAAAD
Antidepressants,0403040W0BMABAE
Antidepressants,0403040W0BN
Antidepressants,0403040W0BNAAAJ
Antidepressants,0403040W0BNABAK
Antidepressants,0403040W0BNACAL
Antidepressants,0403040W0BNADAM
Antidepressants,0403040W0BNAEAV
Antidepressants,0403040W0BP
Antidepressants,0403040W0BPAAAD
Antidepressants,0403040W0BPABAE
Antidepressants,0403040W0BQ
Antidepressants,0403040W0BQAAAD
Antidepressants,0403040W0BQABAE
Antidepressants,0403040W0BR
Antidepressants,0403040W0BRAAAD
Antidepressants,0403040W0BRABAE
Antidepressants,0403040W0BRACAS
Antidepressants,0403040W0BS
Antidepressants,0403040W0BSAAAD
Antidepressants,0403040W0BSABAE
Antidepressants,0403040W0BT
Antidepressants,0403040W0BTAAAD
Antidepressants,0403040W0BTABAE
Antidepressants,0403040W0BU
Antidepressants,0403040W0BUAAAD
Antidepressants,0403040W0BUABAE
Antidepressants,0403040W0BV
Antidepressants,0403040W0BVAAAD
Antidepressants,0403040W0BVABAE
Antidepressants,0403040W0BW
Antidepressants,0403040W0BWAAAD
Antidepressants,0403040W0BWABAE
Antidepressants,0403040W0BX
Antidepressants,0403040W0BXAAAJ
Antidepressants,0403040W0BXABAK
Antidepressants,0403040W0BY
Antidepressants,0403040W0BYAAAE
Antidepressants,0403040W0BYABAD
Antidepressants,0403040W0BZ
Antidepressants,0403040W0BZAAAK
Antidepressants,0403040W0BZABAJ
Antidepressants,0403040W0BZACAL
Antidepressants,0403040W0CB
Antidepressants,0403040W0CBAAAE
Antidepressants,0403040W0CBABAD
Antidepressants,0403040W0CC
Antidepressants,0403040W0CCAAAS
Antidepressants,0403040W0CCABAD
Antidepressants,0403040W0CCACAE
Antidepressants,0403040W0CCADAT
Antidepressants,0403040W0CD
Antidepressants,0403040W0CDAAAD
Antidepressants,0403040W0CDABAE
Antidepressants,0403040W0CE
Antidepressants,0403040W0CEAAAD
Antidepressants,0403040W0CEABAE
Antidepressants,0403040W0CF
Antidepressants,0403040W0CFAAAS
Antidepressants,0403040W0CFABAD
Antidepressants,0403040W0CFACAE
Antidepressants,0403040W0CG
Antidepressants,0403040W0CGAAAS
Antidepressants,0403040W0CGABAD
Antidepressants,0403040W0CGACAE
Antidepressants,0403040X0
Antidepressants,0403040X0AA
Antidepressants,0403040X0AAAAAA
Antidepressants,0403040X0AAABAB
Antidepressants,0403040X0AAAFAF
Antidepressants,0403040X0AAAGAG
Antidepressants,0403040X0AAAHAH
Antidepressants,0403040X0AAAIAI
Antidepressants,0403040X0AAAJAJ
Antidepressants,0403040X0AAAKAK
Antidepressants,0403040X0AAALAL
Antidepressants,0403040X0AAAMAM
Antidepressants,0403040X0AAANAN
Antidepressants,0403040X0AAAPAP
Antidepressants,0403040X0AAAQAQ
Antidepressants,0403040X0AAARAR
Antidepressants,0403040X0AAASAS
Antidepressants,0403040X0BB
Antidepressants,0403040X0BBAAAA
Antidepressants,0403040X0BBABAJ
Antidepressants,0403040X0BBACAL
Antidepressants,0403040X0BBADAM
Antidepressants,0403040Z0
Antidepressants,0403040Z0AA
Antidepressants,0403040Z0AAAAAA
Antidepressants,0403040Z0BB
Antidepressants,0403040Z0BBAAAA
Theophylline,0301030S0
Gabapentinoids,0408010AE
Gabapentinoids,0408010G0
ONS,0913011A0AAAAAA
ONS,0913011A0BBAAAA
ONS,0913011A0BBABAA
ONS,0913011A0BBACAA
ONS,0913011A0BBADAB
ONS,0913011B0AAAAAA
ONS,0913011B0BBAAAA
ONS,0913011B0BBABAA
ONS,0913011B0BBACAA
ONS,0913011B0BBADAA
ONS,0913011B0BBAEAB
ONS,0913011B0BCAAAC
ONS,0913011B0BCABAD
ONS,0913011B0BCACAD
ONS,0913011B0BCADAD
ONS,0913011B0BCAEAD
ONS,0913011C0AAAAAA
ONS,0913011C0AAABAB
ONS,0913011C0AAAHAH
ONS,0913011C0AAAJAJ
ONS,0913011C0BBAAAH
ONS,0913011C0BBACAH
ONS,0913011C0BBADAH
ONS,0913011C0BBAEAH
ONS,0913011C0BBAFAH
ONS,0913011C0BBAGAH
ONS,0913011C0BBAHAG
ONS,0913011C0BBAIAH
ONS,0913011C0BCAAAA
ONS,0913011C0BCABAA
ONS,0913011C0BCACAA
ONS,0913011C0BCADAA
ONS,0913011C0BCAEAA
ONS,0913011C0BCAFAE
ONS,0913011C0BDAAAI
ONS,0913011C0BDABAJ
ONS,0913011C0BDACAJ
ONS,0913011C0BDADAJ
ONS,0913011C0BDAEAJ
ONS,0913011C0BDAFAJ
ONS,0913011C0BEAAAB
ONS,0913011C0BEABAB
ONS,0913011C0BEACAB
ONS,0913011C0BEADAB
ONS,0913011C0BFAAAC
ONS,0913011C0BFABAC
ONS,0913011C0BFACAC
ONS,0913011C0BFADAC
ONS,0913011C0BFAEAC
ONS,0913011C0BFAFAC
ONS,0913011C0BFAGAF
ONS,0913011C0BFAHAK
ONS,0913011C0BFAIAL
ONS,0913011C0BGAAAD
ONS,0913011C0BGABAD
ONS,0913011C0BGACAD
ONS,0913011C0BGADAD
ONS,0913011D0AAADAD
ONS,0913011D0BBAAAC
ONS,0913011D0BBABAD
ONS,0913011D0BBACAD
ONS,0913011D0BBADAD
ONS,0913011D0BBAEAD
ONS,0913011D0BBAFAD
ONS,0913011D0BCAAAB
ONS,0913011D0BCABAB
ONS,0913011D0BCACAB
ONS,0913011D0BCADAB
ONS,0913011D0BCAEAB
ONS,0913011D0BCAFAA
ONS,0913011E0AAAAAA
ONS,0913011E0AAADAD
ONS,0913011E0BBAAAA
ONS,0913011E0BBABAA
ONS,0913011E0BBACAA
ONS,0913011E0BBADAA
ONS,0913011E0BBAEAE
ONS,0913011E0BCAAAB
ONS,0913011E0BCABAB
ONS,0913011E0BCACAB
ONS,0913011E0BCADAB
ONS,0913011E0BCAEAB
ONS,0913011E0BDAAAC
ONS,0913011E0BDABAC
ONS,0913011E0BDACAC
ONS,0913011E0BDADAC
ONS,0913011E0BEAAAD
ONS,0913011E0BEABAD
ONS,0913011E0BEACAD
ONS,0913011E0BEADAD
ONS,0913011E0BEAEAD
ONS,0913011E0BEAFAD
ONS,0913011E0BFAAAF
ONS,0913011E0BFABAF
ONS,0913011E0BFACAF
ONS,0913011E0BFADAF
ONS,0913011E0BFAEAG
ONS,0913011F0AAAAAA
ONS,0913011F0AAADAD
ONS,0913011F0BBAAAA
ONS,0913011F0BBABAA
ONS,0913011F0BBACAA
ONS,0913011F0BBADAA
ONS,0913011F0BBAEAA
ONS,0913011F0BBAFAA
ONS,0913011F0BBAGAB
ONS,0913011F0BCAAAC
ONS,0913011F0BCABAD
ONS,0913011F0BCACAD
ONS,0913011F0BCADAD
ONS,0913011F0BCAEAD
ONS,0913011F0BCAFAD
ONS,0913011G0BBAAAA
ONS,0913011G0BBABAB
ONS,0913011G0BBACAB
ONS,0913011G0BBADAB
ONS,0913011H0BBAAAA
ONS,0913011H0BBABAB
ONS,0913011H0BBACAB
ONS,0913011H0BBADAB
ONS,0913011H0BBAEAB
ONS,0913011H0BBAFAB
ONS,0913011I0BBAAAC
ONS,0913011I0BCAAAB
ONS,0913011I0BDAAAA
ONS,0913011J0AAABAB
ONS,0913011J0AAAEAE
ONS,0913011J0BBAAAF
ONS,0913011J0BBABAH
ONS,0913011J0BCAAAI
ONS,0913011J0BEAAAA
ONS,0913011J0BEABAA
ONS,0913011J0BEACAA
ONS,0913011J0BEADAA
ONS,0913011J0BFAAAB
ONS,0913011J0BFABAB
ONS,0913011J0BFACAB
ONS,0913011J0BFADAB
ONS,0913011J0BFAEAB
ONS,0913011J0BFAFAC
ONS,0913011J0BFAGAC
ONS,0913011J0BFAHAC
ONS,0913011J0BFAIAC
ONS,0913011J0BGAAAD
ONS,0913011J0BGABAE
ONS,0913011J0BGACAE
ONS,0913011J0BGADAE
ONS,0913011J0BGAEAE
ONS,0913011K0BBAAAA
ONS,0913011K0BBABAA
ONS,0913011K0BBACAC
ONS,0913011K0BCAAAE
ONS,0913011K0BDAAAB
ONS,0913011K0BEAAAD
ONS,0913011L0BBAAAB
ONS,0913011L0BCAAAA
ONS,0913011M0AAAAAA
ONS,0913011M0AAAEAE
ONS,0913011M0AAAGAG
ONS,0913011M0BBAAAH
ONS,0913011M0BBABAE
ONS,0913011M0BCAAAF
ONS,0913011M0BCABAG
ONS,0913011M0BDAAAB
ONS,0913011M0BDABAI
ONS,0913011M0BEAAAA
ONS,0913011M0BEABAA
ONS,0913011M0BFAAAC
ONS,0913011M0BFABAD
ONS,0913011N0AAAAAA
ONS,0913011N0AAABAB
ONS,0913011N0AAAGAG
ONS,0913011N0AAAIAI
ONS,0913011N0BBAAAK
ONS,0913011N0BBABAI
ONS,0913011N0BCAAAE
ONS,0913011N0BCABAF
ONS,0913011N0BCACAM
ONS,0913011N0BCADAN
ONS,0913011N0BDAAAJ
ONS,0913011N0BEAAAA
ONS,0913011N0BEABAA
ONS,0913011N0BFAAAG
ONS,0913011N0BGAAAB
ONS,0913011N0BGABAB
ONS,0913011N0BIAAAD
ONS,0913011N0BIABAD
ONS,0913011N0BIACAD
ONS,0913011N0BIADAD
ONS,0913011N0BIAEAD
ONS,0913011Q0AAABAB
ONS,0913011Q0BBAAAC
ONS,0913011Q0BDAAAB
ONS,0913011R0BBAAAA
ONS,0913011S0AAAEAE
ONS,0913011S0BBAAAA
ONS,0913011S0BBABAF
ONS,0913011S0BBACAG
ONS,0913011S0BBADAB
ONS,0913011S0BBAEAI
ONS,0913011S0BCAAAH
ONS,0913011S0BDAAAC
ONS,0913011S0BEAAAD
ONS,0913011S0BFAAAE
ONS,0913011T0BBAAAA
ONS,0913011T0BBABAA
ONS,0913011T0BCAAAB
ONS,0913011U0BBAAAA
ONS,0913011U0BCAAAB
ONS,0913011U0BDAAAC
ONS,0913011V0AAAAAA
ONS,0913011V0AAACAC
ONS,0913011V0AAADAD
ONS,0913011V0BBAAAA
ONS,0913011V0BBABAA
ONS,0913011V0BBACAA
ONS,0913011V0BBADAA
ONS,0913011V0BBAEAB
ONS,0913011V0BCAAAC
ONS,0913011V0BCABAG
ONS,0913011V0BDAAAD
ONS,0913011V0BDABAF
ONS,0913011V0BEAAAE
ONS,0913011W0AAABAB
ONS,0913011W0BBAAAA
ONS,0913011W0BBABAB
ONS,0913011W0BCAAAC
ONS,0913011W0BCABAD
ONS,0913011X0BBAAAA
ONS,0913011X0BBABAB
ONS,0913011X0BCAAAC
ONS,0913011X0BCABAD
ONS,0913051A0BBAAAA
ONS,0913051A0BBABAA
ONS,0913051B0BBAAAA
ONS,0913051B0BBABAB
ONS,0913051C0BBAAAA
ONS,0913051D0BBAAAA
ONS,0913061B0BCAAAB
ONS,0913061C0BBAAAA
ONS,0913061C0BDAAAC
ONS,0913171B0BBABAB
ONS,0913311A0AAABAB
ONS,0913311A0BBAAAA
ONS,0913311A0BBABAA
ONS,0913311A0BBACAA
ONS,0913311A0BBADAA
ONS,0913311C0BBAAAA
ONS,0913311C0BCAAAB
ONS,0913311C0BCACAB
ONS,0913311C0BCADAB
ONS,0913311C0BCAEAB
ONS,0913311C0BCAFAB
ONS,0913311D0BCAAAB
ONS,0913311E0BBABAA
ONS,0913311H0BBAAAA
ONS,0913311I0BBAAAA
ONS,0913311L0BBAAAA
ONS,0913311L0BBABAA
ONS,0913311L0BBACAA
ONS,0913311L0BBADAA
ONS,0913311D0BDACAC
ONS,0913311D0BDAEAC
ONS,0913311D0BDAFAC
ONS,0913311D0BDAAAC
ONS,0913311D0BDADAC
ONS,0913311K0BBAAAA
ONS,0913311K0BBABAB
Semglee,0601012V0AAADAD
Semglee,0601012V0BBACAD
Semglee,0601012V0BBAEAD
Semglee,0601012V0BDACAD
Semglee,0601012V0BDADAD
Semglee,0601012V0BEAAAD
Promethazine,0304010W0
Dapagliflozin,0601023AM
Dapagliflozin,0601023AG
Dapagliflozin,0601023AN
Dapagliflozin,0601023AX
Trurapi,0601011A0AAABAB
Trurapi,0601011A0AAACAC
Trurapi,0601011A0BBABAB
Trurapi,0601011A0BBACAC
Trurapi,0601011A0BBADAC
Trurapi,0601011A0BBAEAC
Trurapi,0601011A0BDAAAB
Trurapi,0601011A0BDABAC
Fostair Alternatives,0302000ABAAABAB
Fostair Alternatives,0302000ABBCAAAB
Fostair Alternatives,0302000ABBFAAAB
Fostair Alternatives,0302000ABBDAAAB
Fostair Alternatives,0302000ABBGAAAB
Fostair Alternatives,0302000ABBEAAAB
Opioids,040702
Folic acid,0901020G0AAA3A3
Folic acid,0901020G0AAAGAG
Folic acid,0901020G0AABZBZ
Folic acid,0901020G0AACCCC
Folic acid,0901020G0AACICI
Folic acid,0901020G0BBAACI
Folic acid,0901020G0CQAACI
Folic acid,0901020G0CRAACI
Folic acid,0901020G0CSABCI
Vaniqa,1309000X0AAAAAA
Vaniqa,1309000X0BBAAAA
Zyduco XL,0105010B0AAARAR
Zyduco XL,0105010B0BHAAAR
