Category,BNF Prefix
SABAs,0301011R0
SABAs,0301011V0
Antidepressants,0403010C0
Antidepressants,0403010C0AA
Antidepressants,0403010C0AAABAB
Antidepressants,0403010C0AAACAC
Antidepressants,0403010C0BB
Antidepressants,0403010C0BBABAB
Antidepressants,0403010C0BBACAC
Antidepressants,0403010C0BC
Antidepressants,0403010C0BCAAAC
Antidepressants,0403010F0
Antidepressants,0403010F0AA
Antidepressants,0403010F0AAAAAA
Antidepressants,0403010F0AAABAB
Antidepressants,0403010F0AAACAC
Antidepressants,0403010F0AAADAD
Antidepressants,0403010F0AAAEAE
Antidepressants,0403010F0AAAKAK
Antidepressants,0403010F0AAALAL
Antidepressants,0403010F0AAAMAM
Antidepressants,0403010F0AAANAN
Antidepressants,0403010F0AAAPAP
Antidepressants,0403010F0AAAQAQ
Antidepressants,0403010F0AAARAR
Antidepressants,0403010F0AAASAS
Antidepressants,0403010F0BB
Antidepressants,0403010F0BBAAAA
Antidepressants,0403010F0BBABAB
Antidepressants,0403010F0BBACAC
Antidepressants,0403010F0BBADAK
Antidepressants,0403010F0BBAEAD
Antidepressants,0403010F0BBAFAR
Antidepressants,0403010J0
Antidepressants,0403010J0AA
Antidepressants,0403010J0AAA5A5
Antidepressants,0403010J0AAA6A6
Antidepressants,0403010J0AAA7A7
Antidepressants,0403010J0AAA8A8
Antidepressants,0403010J0AAAAAA
Antidepressants,0403010J0AAAIAI
Antidepressants,0403010J0AABABA
Antidepressants,0403010J0AABBBB
Antidepressants,0403010J0AABCBC
Antidepressants,0403010J0AABDBD
Antidepressants,0403010J0AABEBE
Antidepressants,0403010J0AABFBF
Antidepressants,0403010J0AABHBH
Antidepressants,0403010J0AABJBJ
Antidepressants,0403010J0AABKBK
Antidepressants,0403010J0BB
Antidepressants,0403010J0BBAAAA
Antidepressants,0403010J0BBABAI
Antidepressants,0403010J0BC
Antidepressants,0403010J0BCAAAA
Antidepressants,0403010J0BCABAI
Antidepressants,0403010J0BD
Antidepressants,0403010J0BDAAAI
Antidepressants,0403010J0BDABAA
Antidepressants,0403010J0BF
Antidepressants,0403010J0BFAAAA
Antidepressants,0403010J0BFABAI
Antidepressants,0403010L0
Antidepressants,0403010L0AA
Antidepressants,0403010L0AAAAAA
Antidepressants,0403010L0AAABAB
Antidepressants,0403010L0AAACAC
Antidepressants,0403010L0AAADAD
Antidepressants,0403010L0AAAEAE
Antidepressants,0403010L0BB
Antidepressants,0403010L0BBAAAA
Antidepressants,0403010L0BBABAB
Antidepressants,0403010L0BBACAC
Antidepressants,0403010L0BBADAD
Antidepressants,0403010L0BC
Antidepressants,0403010L0BCAAAB
Antidepressants,0403010L0BCABAC
